sl_contract_id,pregunta_id,pregunta_aclaracion,respuesta_aclaracion
1728041,326428,aclaracion,unidad medida bien contratar ser tal encontrar detalado especificacionestécnica vista elaborar pliego constar heramienta unidad medidad palabradeterminación hacer constar unidad cierto bien
1706638,332456,aclaracion,.aclaración nro 2documento especificación técnicas:. información técnico detale técnico construción:- forado interior instalar pared plancha galvanizada mínimo .1mrevisar acta pregunta respuesta aclaración
1706638,332449,preguntar costo plan mantenimiento próximo año incluido elprecio oferta,costo mantenimiento vigencia tecnológico vehículo año kms equipo médico año incluido precio oferta según estipular numeral pliego presente procedimiento haber ser determinar estudio mercado definición presupuesto referencial elaborado acuerdo numeral artículo codificación actualización resolución sercop
1706638,332450,proceso incluir vehiculo mantenimiento preventivo corectivo año elpresupuesto,presente procedimiento precio oferta incluir vehículo equipo médico acuerdo detalado especificación técnico así incluir costo mantenimiento vigencia tecnológico vehículo año kms equipo médico año según estipular numeral pliego presente procedimiento haber ser determinar estudio mercado definición presupuesto referencial elaborado acuerdo numeral artículo codificación actualización resolución sercop
1706638,332451,pliego indicar contratista asumir costo traslado matriculación losmantenimiento vigencia tecnologíca cuyo caso ser año ser corecto,conformidad establecido numeral pliego precio oferta además deber incluir siguiente contratista asumir costo traslado bien adquirido hacia lugar establecido institución entrega así costo generar matriculación necesario cumplir cabalidad objeto contratación entrega costo considerar incluido valor oferta así contratista asumir costo mantenimiento vigencia tecnológico costo mantenimiento vigencia tecnológico vehículo año kms equipo médico año incluido precio oferta según estipular numeral pliego presente procedimiento
1706638,332452,poder aumentar plazo entrega día,aplicación principio establecido artículo ley orgánico sistema nacional contratación público particular concurencia concordancia primero inciso artículo codificación actualización resolución sercop presente procedimiento plazo ejecución contrato ser día contado fecha notificación anticipo encontrar disponible
1706638,332453,buena tarde estimadar entidad favor aclarar espesor forado interno debido laespecificación mencionar plancha galvanizado mínimo,forado interior descrito numeral especificación técnico detale técnico construción aclarar instalar pared plancha galvanizada mínimo
1706638,332454,buena tarde estimado entidad tener cuenta alcance proyecto poder considerar unaentrega día,aplicación principio establecido artículo ley orgánico sistema nacional contratación público particular concurencia concordancia primero inciso artículo codificación actualización resolución sercop presente procedimiento plazo ejecución contrato ser día contado fecha notificación anticipo encontrar disponible
1706638,332455,aclaracion,.aclaración nro 1en relación plazo ejecución presente procedimiento contratación emitir aclaración siguiente documento adocumento especificación técnicas10 plazo ejecución plazo presente contratación ser día calendario partir notificación entrega anticipo.bpliego convocatoriael presupuesto referencial ser disponible dólares unidos américa incluir iva plazo estimado ejecución contrato ser día contado fecha notificación anticipo encontrar disponible. plazo ejecución plazo entrega bien prestación servicio normalizado ser día contado fecha notificación anticipo encontrar disponible
1699086,332827,saludo tema experiencia poder presentar experiencia construción campers remolque derivado actividad metalmecánica objeto decontratación relacionado actividad metalmecánica indicar ser losproducto metalmecánica relacionado similar objeto contratación,experiencia poder presentar relacionado objeto contratación
1699086,332828,saludo tema equipo mínimo poder presentar carta compromiso tenerdisponibilidad vehículo presentar matriculo licenciair mismo solamente cumplir elobjeto transporte relacionado tema fabricación.es decir ser indispensablepar objeto contratación adicional artículo ley orgánico sistema nacionalde contratación público losncp establecer aplicación ley contratosque derive observar principio legalidad trato justo igualdad calidad vigencia tecnológico oportunidad concurencia transparencia publicidad participacionacional?.al solicitar vehiculo furgonado viola directamente trato justo igualdad losparticipant,equipo minimo poder presentar carta compromiso disponibilidad vehículo
1699086,332829,aclaracion,parte provedor haber realizar dos pregunta haber dar respectivo aclaraciones.respuesta experiencia poder presentar relacionado objeto contrataciónrespuesta equipo minimo poder presentar carta compromiso disponibilidad vehículo
1716637,353931,buen día favor aclarar ser necesario presentar certificado distribuidor todoslo bién requerido presente proceso considerar ser diferente variosfabricant,buena tarde oferente deber presentar certificado fabricante distribuidor vendedor representante autorizado emitido fabricante bien conformar proceso deber contar fecha emisión vigente.gracias
1704454,354595,buena noche señor agradecerar servir subir pliego presente proceso mismo contener informacion relacionado forma presentar oferta,estimado oferente anexo archivo solicitado manifestar encontrar subido pliego formato ushay archivo anexo referencia verificación
1704454,354596,buena tarde señor epm-gidsa detale especificación técnico constanalguno código requerido especificar poder ofertar artículo equivalente deigual característica marca solicitar respondar expresamente haber noés posibilidad,estimado oferente regir especificación técnico encontrar establecido pliego filtro descripción encontrar palabra equivalente filtro deber ser original verificar código requerido caso ofertar filtro equivalente original deber presentar ficha técnico filtro
1704454,354597,aclaracion,haber realizar ninguno aclaración
1698629,362942,saludo cordial estimado señor poder enviar oferta manera digital ser elcasopor favor especificar direción coreo electrónico poder enviar lasofertas.mucha gracia,buen día respecto pregunta oferta deber ser entregar manera físico instalación direción técnico zona instituto nacional patrimonio cultural ubicado provincia loja cantón loja paroquia sagrario cale sucre quito esquín nro cuyo horario atención ser lunes viernes 08h0 16h30 mismo deber ser entregar secretaria selado enviar oferta económico inicial portal compra público ser importante recalcar provedor deber día obligación tributario tener inconveniente mismo saludo esperar haber atender pregunta
1698629,362943,buena tarde favor adjuntar tdr gracias,buen día respecto pregunta tdr poder revisar pliego encontrar publicado proceso seción volver anexar pliego proceso corespondiente saludo esperar haber atender pregunta
1698629,362944,aclaracion,haber dar atención pregunta generado dentro proceso contratacion tener objeto brindar seguridad sede dtz7 inpc sede ciudad loja año .se haber adjuntar información solicitado
1704225,417614,.entidad contratante comisión técnica especificación técnico ítem característicasolicitar cumplir norma inir estrela vida msp vehículo usosanitario además deber cumplir norma calidad iso favor remitir losjustificativo técnico firma responsabilidad motivar dicho solicitud considerandocar manual buena práctica contratación público desarolo ecuador emitido sercop página establecer condición impropio entidadescontratant momento realizar pliego procedimiento contratación solicitandocumentación imposible cumplir parte mayoría continuo preguntar,remitir respuesta pregunta
1704225,417615,continuacion preguntar oferent generalmente sólo oferente haber pactadopreviamente poder presentar documentación ejemplo solicitar certificado carácterinternacional halar requisito obligatorio oferent volver uncondicionamiento discriminatorio entidad conocer norma internacional soncostosa ende poder ser adquirir grande empresa capacidad deofrecer coima cuantioso establecer pliego certificado internacional direcionar contratación grande empresa afectar concurencia procedimiento yasegurar ganador justificativo técnico firma responsabilidad solicitado deber ser publicar solicitar suprimar requisito solicitar norma calidadiso continuo preguntar,remitir respuesta pregunta
1704225,417616,continuacion pregunta limitar participación oferent ser justificativo eserequisito ser adquirir bien excelente calidad existir oferent poder cumplir yentregar bien superar requisito mencionado requerimiento solo poder cumplir eloferente tener certificado calidad dar entender proceso encuentrapactar realizar respectivo denuncia sercop,aceptar suprimir norma calidad iso
1704225,417617,acuerdo resolución re-sercop- directriz dado sercop parasubir oferta electrónico firmado igual manera alternativa válido presentación deoferta físico rogar confirmar ser suficiente subir oferta unicamente módulofacilitador mfc anexo necesariamente deber firmado ultimo anexo eslo oferta firmado sistema firmar,oferta generado oferente través módulo facilitador contratación público mfcp- ushay deber ser elevar través portal institucional servicio nacional contratación público firmado electrónicamente respecto anexo documentación respaldo soporte adjunte oferta oferent deber presentar mismo debidamente suscrito electrónicamente oferente conformidad establecido artículo resolución re-sercop- concordancia dispuesto circular sercop-sercop-c
1704225,417618,ser bien partir componente insumos importación existir producionacional rogar ampliar plazo menos día menos tener provedorpreparado pre-selecionado suceder comúnmente entidad poner plazosimposibl cumplir,modificar plazo entrega día ser necesario señalar ser factible realizar entrega tiempo establecido adjudicación similar publicado sercop dos último año
1704225,417619,proceso ajustar garantía técnico limitado defecto fabricación oun año cumplir primero vigencia tecnológico cinco año conforme loestablecido decreto adquisición vehículo favor confirmar,ser corecto
1704225,417620,art codificación resolución sercop aclarar modificación pliegoque realizar consecuencia respuesta aclaraciones poder cambiar objeto delprocedimiento precio establecido entender plazo forma pago especificacionesentrir ser susceptible coreción antecedente solicitar manera máscomedido ampliar plazo día anticipo menos,remitir respuesta pregunta aceptar anticipo
1704225,417621,favor subir imagen diagrama referencial bien requerido,adjuntar siguiente imagen revisar archivo actar -sie-mimg-
1704225,417622,situación económico país ser difícil además ser bien componente importado roguir considerar ampliar anticipo menos mayor participación oferentesen proceso rogar ser consient situación nacional promover reactivamientoeconómico país política gobierno salir junto crisis,aceptar
1704225,417623,proceso ser relanzado poder comunicar cambio inclusión hanhechir actual proceso relación anterior,remitir respuesta pregunta ser proceso nuevo adquisición año
1704225,417624,buena tarde estimadar entidad contratante tener cuenta situación actual país sepuedir considerar menos anticipo,remitir respuesta pregunta
1704225,417625,buena tarde estimadar entidad contratante según alcance proyecto poder considerar 90día entrega,remitir respuesta pregunta
1704225,417626,buena tarde estimadar entidad contratante favor adjuntar especificación completo delmobiliario detale habitáculo asistencial debido pliego sólo estánlas especificación vehículo,remitir respuesta pregunta mismo deber ser basar parámetro normado equipo médico mobiliario clínica móvil
1704225,417627,buena tarde estimadar entidad contratante solicitar generador cuanto kva mínimonecesitar,generador mínimo 80w
1704225,417628,buena tarde estimadar entidad contratante cuánta área atención solicitar dentro delhabitáculo,requerir habitáculo atención usuario
1704225,417629,buena tarde estimadar entidad contratante favor ser dimensión área elhabitáculo,alto aproximadamente considerar prioridad espacio dimensión equipo médico oferente presente propuesta relación tamaño vehículo
1704225,417630,buena tarde estimadar entidad contratante cuál ser área atención solicitar paraesta unidad,área atención usuario área quirófano área ubicación jaula demás equipo
1704225,417631,buena tarde estimadar entidad contratante poder incluir plano distribución loshabitáculo asistencial solicitar,remitir respuesta pregunta
1704225,417632,buena tarde estimadar entidad contratante poder incluir plano distribución loshabitáculo asistencial solicitar,remitir respuesta pregunta
1704225,417633,buena tarde estimadar entidad contratante favor adjuntar especificación detalado delhabitáculo asistencial cada unidad móvil,remitir respuesta pregunta
1710924,392069,estimar entidad favor confirmar requerir muestra,buen dia senor oferent particioant verificacion bien adquirir entidad contrantante requerimos entrega muestra unidad overol bota chaleco tactico necesitar analizar calidad producto ser usar personal militar cumplir norma seguridad
1710924,392070,buen día requerir muestra ser presentación oferta medio solicitoimágén ítem favor gracia,buen dia senor oferent particioant verificacion bien adquirir entidad contrantante requerimos entrega muestra unidad overol bota chaleco tactico necesitar analizar calidad producto ser usar personal militar cumplir norma seguridad medio presentacion oferta acuerdo pliego adjunto parte observacion
1709875,392134,estimado vista situación actual vivir país solicito permitir entregadelaoferta únicamente forma digital través soce coreo electrónico favorfacilitarlosdebido coreos entrega mismo favor limitar libre participación.gracias,señor oferenteconfor estipular pliego seción evaluacion oferta tecnica observacion oferent adicional presentación oferta electrónico trav portal institucional sercop deber remitir oferta ser caso convalidacion eror coreo electrónico adminfinanciero07d01@educacion.gob.ec
1701657,392363,estimado señor sistema sut permitir registrar plan anual registro planificaciónde capacitación materia seguridad salud trabajo empresa menos 10trabajador actualidad empresa contar menos trabajador poder presentarcarta compromiso,estimado oferente recordar servicio prestar ser paraún institución hospitalario requerir personal capacitado
1701657,392364,estimado señor referir foleto material aseo utilizar paraelpersonal brindar servicio ser manual plan,estimado oferente referir ficha técnico losmaterial ser utilizar labor diario
1701657,392365,señor entidad respetar querer explotar trabajador indicar turno serandir hora area hora segun codigo trabajo trajdor deber trabajar 40horas semanel diaria extender jornada diario hora doshora comida duda ser auxiliar requerido ser cubrir jornada lunesa domingo incluido sabado domingo feriado favor aclarar,estimado oferente hospital prestar servicio comunidadlo dia año
1701657,392367,señor referencioa capacitación solicitado auxilir supervisor comopar hora hora referencia limpieza hospitalario solicitar esteavalado ministerio salud publico hora avlado setec solocitar2 capacitación mismo tema mediante decreto ejecutivo setec fusionar elministerio trabajo siedo responsable sistema cualificación pais.nuestrosauxiliares contar capacitación limpieza hospitalario manejo desechosintrahospitalario manejo quimico equipo hora avaladaspoder presentar estacapacitacion cumplir dos capacitación favor ser claro respuesta,estimado oferente ser aceptar capacitación emitidaspor msp
1701657,392368,solicitar cedular evidenciar ser bachiler ser suficiente presentar titulo debachiler record caotico pais actualizar cedula nuetrostrabajador vizualizar ser bachiler cedula poder presentar unicamente elcertificado bachiler cumplir requsito,estimado oferente poder participar título bachiler
1701657,392369,señor referencioa capacitación solicitado auxilir supervisores tantocomopar hora horas referencia limpieza hospitalario solicitar questeavalada ministerio salud publico hora avlado setec quesolocitar2 capacitación mismo tema mediante decreto ejecutivo setec sefusiono elministerio trabajo siedo responsable sistema cualificación elpais.nuestrosauxiliares contar capacitación limpieza hospitalario manejo dedesechosintrahospitalario manejo quimico equipo hora avaladaspodemospresentar estacapacitacion cumplir dos capacitación favor ser claro susrespuesta,estimado oferente pedir disculpa caso consideranla capacitación avalado msp
1701657,392370,estimado señor sistema sut permitir registrar plan anual registro deplanificacióndir capacitación materia seguridad salud trabajo empresa menosde 10trabajadores actualidad empresa contar menos trabajador puedepresentarcartar compromiso entenderio proceso direcionado,estimado oferente recordar servicio prestar ser paraún institución hospitalario requerir personal capacitado
