sl_contract_id,sd_entidad,sd_objeto_de_proceso,sie_ic_promedio
1752147,gobierno autonomo descentralizado municipal canton cumanda,adquisicion maquín excavadora oruga gadm cumanda,0.86
1689929,centro clinico quirurgico ambulatorio hospital dio norte-tarqui,adquisición primero requerimiento fármaco catalogado grupo aprobado pac centro clínico quirúrgico ambulatorio hospital día norte tarqui,0.73
1737580,empresa eléctrico público estratégico corporación nacional electricidad cnel,corp adquisicion selo seguridad,0.63
1699371,hospital básico-esmeraldas,adquisicion medicamento cuyo grupo terapéutico pertenecer antinfecioso uso sistémico abastecimiento hospital básico esmeralda,0.73
1712786,direcion distrital 09d04 febr cordero salud,contratación servicio vigilancia seguridad mes jul dic unidad operativo direción distrital 09d04 febr cordero salud,0.55
1678278,gobierno autonomo descentralizado distrito metropolitano quito,servicio seguridad vigilancia instalación unidad metropolitano salud centro casa bienestar vida,0.91
1684854,hospital eugenio espejo,adquisición medio contraste basado gadolinio líquido parenteral mol mol mínimo,0.86
1747722,empresa público metropolitana agua potable saneamiento,adquisición montaje compuerta deslizant clarificador planta puengasi,0.86
1750232,hospital basico yantzaza,adquisición medicamento grupo hospital básico yantzaza,0.88
1705636,hospital eugenio espejo,adquisición medicamento alcohol etílico liquido cutáneo ciento,0.82
1758687,empresa eléctrico público estratégico corporación nacional electricidad cnel,ste reposicion contador cable bodega libertad unidad negocio santa elena gaf,0.86
1722530,universidad politecnico estatal carchi,adquisición servicio capacitación talento humano docente universidad politécnico estatal carchi upec,0.86
1742137,hospital general liborio panchán sotomayor,adquisición reactivo laboratorio clínico,0.88
1689258,gobierno autonomo descentralizado municipal canton latacunguir,adquirir generador eléctrico gadmc latacunguir,0.5
1711639,gobierno autonomo descentralizado provincia pichincha,adquisición material construción red terciaria comunidad chaupi,0.71
1704454,empresa publicar municipal gestion integral desecho solido canton ambato,adquisición filtro automotor liviano pesado equipo maquinaria parque automotriz epm-gidsa,0.45
1727386,hospital especialidad josé carasco arteagar,adquisición set drenaje torácico,0.86
1747559,grupo cabaleria mecanizado tnte ortiz,contratación servicio alquiler automotor conductor traslado personal seguridad material proceso electoral,0.88
1741331,comandancia general planta central,adquisición mesa sila eleción,0.63
1710135,centro clinico quirurgico ambulatorio hospital dia batar,contratación servicio seguridad vigilancia privado centro clínico quirúrgico ambulatorio hospital dia batán,0.86
