sl_contract_id,pregunta_id,pregunta_aclaracion,respuesta_aclaracion
1728041,326428,ACLARACION,"La Unidad de medida de los bienes a contratarse es tal como se encuentra detallado en las ESPECIFICACIONESTÉCNICAS, en vista que al elaborar el pliego no consta en la herramienta como unidad de medidad la palabraDETERMINACIÓN, se hace constar la UNIDAD para ciertos bienes."
1706638,332456,ACLARACION,2.ACLARACIÓN NRO. 2DOCUMENTO: ESPECIFICACIONES TÉCNICAS:5.1 INFORMACIÓN TÉCNICA:DETALLE TÉCNICO DE LA CONSTRUCCIÓN:8- Forrado InteriorSe instalarán en las paredes planchas galvanizadas mínimo de 1.1mmRevisar Acta de preguntas respuestas y aclaraciones
1706638,332449,Pregunta: El costo del plan de mantenimiento durante los 3 próximos años esta incluido en elprecio de la oferta?,"El costo de mantenimiento por vigencia tecnológica para el vehículo 5 años o 100.000 Kms y para el equipo médico 3 años, está incluido en el precio de la oferta, según lo estipulado en los numerales 2.2 y 2.3 del pliego del presente procedimiento y que ha sido determinado en el estudio de mercado para la definición del presupuesto referencial, elaborado de acuerdo al numeral 2 del artículo 9 de la Codificación y actualización de Resoluciones del SERCOP."
1706638,332450,En este proceso incluye el vehiculo y el mantenimiento preventivo y correctivo por 3 años en elpresupuesto?,"En el presente procedimiento el precio de la oferta incluye el vehículo y equipo médico de acuerdo a lo detallado en las Especificaciones Técnicas, así como, se incluye el costo de mantenimiento por vigencia tecnológica para el vehículo 5 años o 100.000 Kms y para el equipo médico 3 años según lo estipulado en los numerales 2.2 y 2.3 del pliego del presente procedimiento y que ha sido determinado en el estudio de mercado para la definición del presupuesto referencial, elaborado de acuerdo al numeral 2 del artículo 9 de la Codificación y actualización de Resoluciones del SERCOP."
1706638,332451,"En el pliego indica que el contratista asumirá los costos del traslado, matriculación y losmantenimientos de la vigencia tecnologíca que para cuyo caso son 3 años es correcto esto?","De conformidad a lo establecido en el numeral 3.3 del pliego, el precio de la oferta además deberá incluir lo siguiente: ?El contratista asumirá los costos por traslado de los bienes adquiridos hacia el lugar establecido por la institución para la entrega, así como los costos que se generen por matriculación necesarios para cumplir a cabalidad con el objeto de contratación y su entrega costos éstos que se consideran incluidos en el valor de la oferta. Así también, el contratista asumirá los costos de mantenimiento por la vigencia tecnológica?. El costo de mantenimiento por vigencia tecnológica para el vehículo 5 años o 100.000 Kms y para el equipo médico 3 años, está incluido en el precio de la oferta, según lo estipulado en los numerales 2.2 y 2.3 del pliego del presente procedimiento."
1706638,332452,Pueden aumentar el plazo de entrega a 90 días?,"En aplicación de los principios establecidos en el artículo 4 de la Ley Orgánica del Sistema Nacional de Contratación Pública, en particular el de concurrencia, y en concordancia con el primer inciso del artículo 266 de la Codificación y actualización de Resoluciones del SERCOP, en el presente procedimiento, el plazo para la ejecución del contrato será de 90 días, contado desde la fecha de notificación que el anticipo se encuentra disponible."
1706638,332453,Buenas tardes estimada entidad Por favor aclarar el espesor del forrado interno debido a que en laespecificación menciona plancha galvanizada de mínimo 11 mm?,"Para el Forrado Interior, descrito en el numeral 5.1 de las Especificaciones Técnicas, ?DETALLE TÉCNICO DE LA CONSTRUCCIÓN?, se aclara que se instalarán en las paredes planchas galvanizadas mínimo de 1.1mm."
1706638,332454,Buenas tardes estimada entidad Teniendo en cuenta el alcance del proyecto Se puede considerar unaentrega de 90 días?,"En aplicación de los principios establecidos en el artículo 4 de la Ley Orgánica del Sistema Nacional de Contratación Pública, en particular el de concurrencia, y en concordancia con el primer inciso del artículo 266 de la Codificación y actualización de Resoluciones del SERCOP, en el presente procedimiento, el plazo para la ejecución del contrato será de 90 días, contado desde la fecha de notificación que el anticipo se encuentra disponible."
1706638,332455,ACLARACION,"1.ACLARACIÓN NRO. 1En relación al plazo de ejecución del presente procedimiento de contratación, se emite la aclaración en los siguientes documentos:ADOCUMENTO: ESPECIFICACIONES TÉCNICAS10. PLAZO DE EJECUCIÓN El plazo de la presente contratación es de 90 días calendario a partir de la notificación de la entrega del anticipo.BPLIEGO CONVOCATORIAEl presupuesto referencial es de NO DISPONIBLE dólares de Estados Unidos de América, sin incluir el IVA, y el plazo estimado para la ejecución del contrato es de 90 días, contado DESDE LA FECHA DE NOTIFICACIÓN QUE EL ANTICIPO SE ENCUENTRA DISPONIBLE.3.5 Plazo de Ejecución: El plazo de entrega de los bienes y/o prestación de los servicios normalizados es de 90 días, contado DESDE LA FECHA DE NOTIFICACIÓN QUE EL ANTICIPO SE ENCUENTRA DISPONIBLE"
1699086,332827,"Saludos para el tema de experiencia se puede presentar la experiencia en construcción de campers,remolques, entre otros derivados de la actividad de metalmecánica, ya que el objeto decontratación esta relacionado con la actividad de metalmecánica, o indicar cuales son losproductos de metalmecánica relacionados o similares al objeto de contratación",Experiencia: Si se puede presentar ya que si está relacionado con el objeto de contratación
1699086,332828,"Saludos para el tema de equipo mínimo se puede presentar una carta compromiso de tenerdisponibilidad del vehículo, sin presentar matricula y licenciaYa que el mismo solamente cumple elobjeto de transporte y no esta relacionado con el tema de fabricación.Es decir no es indispensablepara el objeto de contratación adicional el El artículo 4 de la Ley Orgánica del Sistema Nacionalde Contratación Pública LOSNCP, establece que: ?Para la aplicación de esta Ley y de los contratosque ella derive, se observarán los principios de legalidad, trato justo, igualdad, calidad,vigencia tecnológica, oportunidad, concurrencia, transparencia, publicidad y, participaciónnacional?.Al solicitar el vehiculo furgonado viola directamente el trato justo, e igualdad en losparticipantes",EQUIPO MINIMO: si se puede presentar la carta compromiso de disponibilidad de vehículo
1699086,332829,ACLARACION,De parte de los proveedores se ha realizado dos preguntas de las cuales se los ha dado las respectivas aclaraciones.Respuesta 1:Experiencia: Si se puede presentar ya que si está relacionado con el objeto de contrataciónRespuesta 2:EQUIPO MINIMO: si se puede presentar la carta compromiso de disponibilidad de vehículo
1716637,353931,"Buenos días, por favor aclarar si es necesario que se presente certificado de distribuidor de todoslo bienes requeridos en el presente proceso. Considerando que son diferentes y de variosfabricantes.","Buenas tardes, El oferente deberá presentar certificado de fabricante, distribuidor, vendedor o representante autorizado emitido por el fabricante de todos los bienes que conforma el proceso y debe contar con fecha de emisión y estar vigente.Gracias"
1704454,354595,"BUENAS NOCHES SEÑORES MUCHO AGRADECERE A USTEDES SE SIRVAN SUBIR LOS PLIEGOS DEL PRESENTE PROCESO,MISMOS QUE CONTENGAN TODA LA INFORMACION RELACIONADA A FORMA DE PRESENTAR LA OFERTA.","Estimado oferente se anexa archivo solicitado, pero se manifiesta que se encuentra subidos los pliegos en formato Ushay también con los archivos anexos a este, para su referencia y verificación."
1704454,354596,"Buenas tardes señores de la EPM-GIDSA en el detalle de las especificaciones técnicas constanalgunos códigos requeridos que no especifican si se pueden ofertar artículos equivalentes deiguales características y en otra marca, por lo que solicito se responda expresamente si hay o noesa posibilidad.","Estimado oferente regirse a las especificaciones técnicas que se encuentran establecidos en los pliegos, para los filtros que, en su descripción, no se encuentran la palabra equivalente, los filtros deben ser originales y se verificará con el código requerido, y en el caso de ofertar filtros equivalentes a los originales, deberán presentar la ficha técnica del filtro."
1704454,354597,ACLARACION,No se ha realizado ninguna aclaración
1698629,362942,"Saludos cordiales estimados señores, podemos enviar las ofertas de manera digital, de ser elcasopor favor especificar la dirección de correo electrónico a donde podemos enviar lasofertas.Muchas gracias.","Muy buenos días, con respecto a su pregunta la oferta debe ser entregada de manera física en la instalaciones de la Dirección Técnica Zona 7 del Instituto Nacional de Patrimonio Cultural, ubicada en la provincia de Loja, cantón Loja, parroquia El Sagrario, en las calles Sucre y Quito esquina, Nro. 191-31, cuyo horario de atención es lunes a viernes de 08h00 a 16h30, las mismas deben ser entregadas en secretaria, en sobre sellado, a más del envió de la oferta económica inicial el portal de compras públicas, y es importante recalcar que los proveedores deben estar al día en sus obligaciones tributarias para no tener inconvenientes en la misma. Saludos esperamos haber atendido su pregunta."
1698629,362943,BUENAS TARDES. POR FAVOR ADJUNTAR TDR. GRACIAS,"Muy buenos días, con respecto a su pregunta los TDR, se puede revisar en el pliego que se encuentra publicado en el proceso, en la sección IV, pero también se vuelve anexar el pliego del proceso correspondiente. Saludos esperamos haber atendido su pregunta."
1698629,362944,ACLARACION,Se ha dado atención a las preguntas generadas dentro del PROCESO DE CONTRATACION TIENE COMO OBJETO BRINDAR LA SEGURIDAD A LA SEDE DE LA DTZ7 DEL INPC CON SEDE EN LA CIUDAD DE LOJA DEL AÑO 2022.Se ha adjuntado la información solicitada.
1704225,417614,"1.Entidad Contratante / Comisión Técnica, en las especificaciones técnicas ítem CARACTERÍSTICASsolicitan: ?Que cumpla con la norma INEN 2512 ESTRELLA DE LA VIDA DEL MSP para vehículos de usosanitario, además debe cumplir con la norma de calidad ISO 9001:2015?. Por favor remitir losjustificativos técnicos con las firmas de responsabilidad, que motivan dicha solicitud considerandoque el MANUAL DE BUENAS PRÁCTICAS EN LA CONTRATACIÓN PÚBLICA PARA EL DESARROLLO DEL ECUADOR,emitido por el SERCOP, en su página 27 establece: ?Condiciones Impropias: Las entidadescontratantes al momento de realizar el pliego del procedimiento de contratación solicitandocumentación imposible de cumplir por parte de la mayoría de CONTINUA PREGUNTA..",Remitirse a la respuesta de la pregunta 4
1704225,417615,"CONTINUACION DE PREGUNTA los oferentes, generalmente sólo el oferente con el cual se ha pactadopreviamente puede presentar esa documentación. Ejemplos: ? 2.- Solicitar certificados de carácterinternacional, y se hallan como un requisito obligatorio para los oferentes, esto se vuelve uncondicionamiento discriminatorio. Las Entidades al conocer que las normas internacionales soncostosas y por ende podrán ser adquiridas por las grandes empresas, que están en la capacidad deofrecer coimas cuantiosas, establecen en los pliegos certificados internacionales, para direccionarla contratación a estas grandes empresas, afectando la concurrencia de los procedimientos yasegurando el ganador.?. Los justificativos técnicos con las firmas de responsabilidad solicitados,deben ser publicados. Se solicita se suprima este requisito, ya que al solicitar norma de calidadISO 9001:2015 CONTINUA PREGUNTA",Remitirse a la respuesta de la pregunta 4.
1704225,417616,"CONTINUACION DE PREGUNTA limitan la participación de más oferentes, y no es justificativo que eserequisito sea para adquirir un bien de excelente calidad, por q existen oferentes q pueden cumplir yentregar un bien que supere el requisito mencionado, y ese requerimiento solo lo puede cumplir eloferente que tiene ese certificado de calidad, dando a entender que este proceso ya se encuentrapactado, y se realizara la respectiva denuncia al SERCOP.",Se acepta. Se suprime Norma de calidad ISO 9001:2015
1704225,417617,"de acuerdo a la RESOLUCIÓN No. RE-SERCOP-2021-0116 y las Directrices dadas por el SERCOP parasubir la oferta electrónica firmada de igual manera como alternativa válida a la presentación deofertas físicas, rogamos confirmar que es suficiente subir la oferta UNICAMENTE en el MóduloFacilitador de CP MFC y sus anexos no necesariamente deben estar firmados ya que el ultimo anexo esla oferta firmada con el sistema FIRMA EC?","La oferta generada por el oferente a través del Módulo Facilitador de Contratación Pública MFCP- USHAY, deberá ser elevada a través del Portal Institucional del Servicio Nacional de Contratación Pública, firmada electrónicamente. Respecto de los anexos o documentación de respaldo/soporte que se adjunte a la oferta, los oferentes deberán presentar los mismos debidamente suscritos electrónicamente por el oferente, de conformidad con lo establecido en el Artículo 3 de la Resolución No. RE-SERCOP-2021-116, y en concordancia con lo dispuesto en la Circular No. SERCOP-SERCOP-2020-0022-C"
1704225,417618,"Estos son bienes a partir de componentes e insumos de importación, NO existe PRODUCCIONNACIONAL...rogamos ampliar el plazo al menos 180 días a menos que ya se tenga un proveedorpreparado y pre-seleccionado como sucede comúnmente con Entidades que ponen estos plazosimposibles de cumplir","Se modifica el plazo de entrega a 90 días es necesario señalar que, si es factible realizar la entrega en los tiempos establecidos, por adjudicaciones similares publicadas en el SERCOP en los dos últimos años"
1704225,417619,Este proceso se ajusta a la Garantía Técnica limitada a defectos de fabricación de 100.000 Km oun 1 año lo que se cumpla primero con una Vigencia Tecnológica de cinco 5 años conforme loestablecido en el decreto 1515 para la adquisición de vehículos? Favor confirmar,Es correcto
1704225,417620,"El art. 186 de la Codificación de Resoluciones del SERCOP aclara que las modificaciones al pliegoque se realicen como consecuencia de las respuestas o aclaraciones no podrán cambiar el objeto delprocedimiento ni el precio establecido, entendiéndose que plazos, formas de pago y especificacionesentre otros son susceptibles de correcciones?? Con este antecedente solicitamos de la manera máscomedida, ampliar el plazo a 180 días y un anticipo de al menos 70%.",Remitirse a la respuesta de la pregunta 6. No se acepta ese anticipo
1704225,417621,favor subir imágenes o diagramas referenciales de los bienes requeridos,Se adjuntan las siguientes imágenes REVISAR ARCHIVO ACTA 002-SIE-MIMG-054-2022
1704225,417622,"La situación económica del país es difícil además de ser un bien con componentes importados,rogamos considerar/ampliar un anticipo de al menos un 70% para una mayor participación de oferentesen este proceso. Rogamos ser más consientes con la situación nacional y promover el reactivamientoeconómico del País como política del gobierno para salir juntos de la crisis.",No se acepta
1704225,417623,este proceso es otro más relanzado ........ podrían comunicar los cambios o inclusiones que se hanhecho en este actual proceso con relación al anterior.,"Remitirse a la respuesta de la pregunta 1. Es proceso nuevo, adquisición para el año 2022"
1704225,417624,Buenas tardes estimada entidad contratante Teniendo en cuenta la situación actual del país Sepuede considerar al menos el 70% de anticipo?,Remitirse a la respuesta de la pregunta 8
1704225,417625,Buenas tardes estimada entidad contratante Según el alcance del proyecto Se puede considerar 90días de entrega?,Remitirse a la respuesta de la pregunta 6
1704225,417626,"Buenas tardes estimada entidad contratante Por favor adjuntar las especificaciones completas delmobiliario y detalles de los habitáculos asistenciales, debido a que en los pliegos sólo se estánlas especificaciones del vehículo?",Remitirse a la respuesta de la pregunta 1 y 9 Mismos que deberán ser basados en parámetros normados de equipos médicos y mobiliarios para clínicas móviles
1704225,417627,Buenas tardes estimada entidad contratante Se solicita generador? De cuantos KVA o KW mínimonecesitan?,"Si, generador mínimo de 8000W."
1704225,417628,Buenas tardes estimada entidad contratante Cuántas áreas de atención se solicitan dentro delhabitáculo?,Se requiere un habitáculo de atención al usuario
1704225,417629,Buenas tardes estimada entidad contratante Por favor cuales son las dimensiones del área para elhabitáculo?,"1.90 alto x 2m x 2m aproximadamente, considerando como prioridad el espacio o dimensiones de los equipos médicos que el oferente presente en la propuesta, en relación al tamaño del vehículo"
1704225,417630,Buenas tardes estimada entidad contratante Cuáles son las áreas de atención que se solicitan paraesta unidad?,"1 área de atención al usuario, 1 área de quirófano, 1 área de ubicación de jaulas y demás equipos"
1704225,417631,Buenas tardes estimada entidad contratante Se pueden incluir planos de distribución de loshabitáculos asistenciales que solicitan?,Remitirse a la respuesta de la pregunta 9
